"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2024","34.60","34.35","34.70","33.85","5.73M","2.22%"
"07/10/2024","33.85","34.15","34.65","33.80","4.10M","-0.59%"
"07/09/2024","34.05","33.90","34.40","33.70","7.79M","0.89%"
"07/08/2024","33.75","35.20","35.25","33.45","16.84M","-4.26%"
"07/05/2024","35.25","36.55","36.65","35.00","12.57M","-3.29%"
"07/04/2024","36.45","37.25","37.30","36.30","3.86M","-1.49%"
"07/03/2024","37.00","36.50","37.20","36.40","6.60M","2.07%"
"07/02/2024","36.25","36.90","36.90","36.00","5.51M","-0.41%"
"06/28/2024","36.40","36.15","36.85","36.00","6.48M","-0.68%"
"06/27/2024","36.65","37.00","37.20","36.10","9.17M","-1.74%"
"06/26/2024","37.30","36.90","37.60","36.60","6.56M","0.27%"
"06/25/2024","37.20","37.55","37.75","36.90","6.40M","-0.80%"
"06/24/2024","37.50","38.10","38.40","37.05","9.55M","-1.96%"
"06/21/2024","38.25","38.90","39.00","38.20","8.24M","-1.67%"
"06/20/2024","38.90","39.40","39.70","38.50","3.42M","-1.39%"
"06/19/2024","39.45","38.65","39.60","38.55","6.04M","2.47%"
"06/18/2024","38.50","38.95","39.15","38.30","4.53M","-0.13%"
"06/17/2024","38.55","38.40","39.15","38.35","5.55M","-1.28%"
"06/14/2024","39.05","38.60","39.30","38.15","6.86M","0.26%"
"06/13/2024","38.95","38.00","39.00","38.00","6.48M","2.23%"
"06/12/2024","38.10","39.45","39.55","38.00","9.36M","-3.67%"
"06/11/2024","39.55","40.95","40.95","39.35","7.00M","-1.13%"
"06/07/2024","40.00","40.50","40.50","39.85","8.49M","-1.11%"
"06/06/2024","40.45","40.05","41.15","40.05","11.41M","1.38%"
"06/05/2024","39.90","39.00","40.35","38.90","12.45M","2.31%"
"06/04/2024","39.00","38.05","39.20","37.65","7.19M","1.96%"
"06/03/2024","38.25","37.80","38.75","37.80","9.96M","2.00%"
"05/31/2024","37.50","38.20","38.50","37.35","14.66M","-1.83%"
"05/30/2024","38.20","38.55","39.25","38.00","9.76M","-1.55%"
"05/29/2024","38.80","39.25","39.35","38.30","11.37M","-1.15%"
"05/28/2024","39.25","39.00","39.95","38.80","7.14M","1.16%"
"05/27/2024","38.80","39.20","39.25","37.90","8.81M","-0.39%"
"05/24/2024","38.95","39.85","39.85","38.80","11.68M","-2.26%"
"05/23/2024","39.85","39.95","40.10","39.30","10.56M","-1.12%"
"05/22/2024","40.30","40.10","40.90","39.95","13.61M","1.77%"
"05/21/2024","39.60","40.70","41.00","38.95","25.06M","-4.00%"
"05/20/2024","41.25","40.50","41.90","40.40","28.15M","3.38%"
"05/17/2024","39.90","39.20","40.50","39.00","21.62M","1.92%"
"05/16/2024","39.15","38.00","39.25","37.70","28.69M","6.39%"
"05/14/2024","36.80","38.25","38.30","36.70","22.30M","-3.92%"
"05/13/2024","38.30","37.00","38.40","36.55","14.36M","2.68%"
"05/10/2024","37.30","37.15","37.50","36.65","8.45M","0.67%"
"05/09/2024","37.05","36.85","37.25","36.60","9.66M","0.54%"
"05/08/2024","36.85","37.25","37.70","36.75","10.06M","-0.94%"
"05/07/2024","37.20","37.40","37.45","36.65","14.08M","-0.67%"
"05/06/2024","37.45","37.05","37.55","36.40","14.20M","-0.13%"
"05/03/2024","37.50","37.00","38.05","36.95","20.76M","3.59%"
"05/02/2024","36.20","35.10","36.30","34.85","17.38M","2.12%"
"04/30/2024","35.45","36.10","36.60","35.35","14.41M","-1.53%"
"04/29/2024","36.00","36.50","37.30","35.60","33.37M","1.12%"
"04/26/2024","35.60","35.05","35.85","34.65","18.33M","1.57%"
"04/25/2024","35.05","35.00","35.50","34.05","10.12M","0.14%"
"04/24/2024","35.00","35.25","35.55","34.90","11.91M","0.29%"
"04/23/2024","34.90","35.00","35.30","34.60","9.37M","1.01%"
"04/22/2024","34.55","34.20","35.15","34.10","14.55M","2.67%"
"04/19/2024","33.65","33.75","34.15","33.35","20.91M","-1.17%"
"04/18/2024","34.05","34.20","35.40","34.05","22.45M","-0.44%"
"04/17/2024","34.20","36.25","36.50","33.70","35.75M","-7.07%"
"04/16/2024","36.80","38.50","38.50","36.60","19.03M","-4.91%"
"04/15/2024","38.70","39.15","39.25","38.15","15.19M","-2.76%"
"04/12/2024","39.80","40.45","40.60","39.70","7.68M","-1.97%"
"04/11/2024","40.60","40.20","40.60","39.90","7.77M","-0.73%"
"04/10/2024","40.90","41.30","41.30","40.20","8.46M","0.12%"
"04/09/2024","40.85","40.95","41.55","40.70","8.40M","0.62%"
"04/08/2024","40.60","40.60","40.60","39.40","9.38M","0.00%"
"04/05/2024","40.60","40.70","40.75","39.60","8.99M","0.00%"
"04/03/2024","40.60","41.10","41.20","40.35","9.84M","-0.98%"
"04/02/2024","41.00","40.50","41.30","40.50","10.54M","4.33%"
"03/28/2024","39.30","39.55","39.95","39.20","8.40M","-0.76%"
"03/27/2024","39.60","39.70","40.20","39.50","10.04M","-0.50%"
"03/26/2024","39.80","39.90","40.15","39.40","9.04M","0.89%"
"03/25/2024","39.45","40.10","40.30","39.40","8.00M","-0.75%"
"03/22/2024","39.75","40.40","40.75","39.55","10.96M","-1.85%"
"03/21/2024","40.50","39.51","40.80","39.51","8.01M","3.82%"
"03/20/2024","39.01","39.56","39.56","39.01","8.16M","-1.13%"
"03/19/2024","39.46","39.26","39.81","39.01","6.63M","-0.62%"
"03/18/2024","39.71","39.76","40.15","39.61","5.34M","-0.62%"
"03/15/2024","39.95","40.25","40.35","39.56","8.14M","-1.59%"
"03/14/2024","40.60","40.75","41.24","40.25","6.14M","-0.37%"
"03/13/2024","40.75","40.30","41.05","40.15","7.80M","1.11%"
"03/12/2024","40.30","39.36","40.35","38.91","10.12M","3.05%"
"03/11/2024","39.11","38.71","39.51","38.71","9.35M","0.90%"
"03/08/2024","38.76","39.46","39.90","38.56","10.34M","-1.76%"
"03/07/2024","39.46","39.41","40.00","39.26","8.61M","0.25%"
"03/06/2024","39.36","38.71","39.61","38.71","9.22M","1.67%"
"03/05/2024","38.71","39.41","39.71","38.07","18.80M","-3.11%"
"03/04/2024","39.95","41.69","42.09","39.76","13.99M","-4.17%"
"03/01/2024","41.69","41.69","43.18","41.59","11.47M","-1.75%"
"02/29/2024","42.44","41.89","43.33","41.89","13.57M","1.66%"
"02/28/2024","41.74","42.58","43.08","41.49","12.87M","-2.32%"
"02/27/2024","42.73","43.33","43.38","41.79","9.74M","-1.37%"
"02/26/2024","43.33","43.13","43.92","43.13","4.85M","0.46%"
"02/23/2024","43.13","43.58","44.27","42.58","12.96M","-1.92%"
"02/22/2024","43.97","44.77","44.82","43.48","8.03M","-1.77%"
"02/21/2024","44.77","45.02","45.12","44.42","10.52M","-0.11%"
"02/20/2024","44.82","43.97","45.07","43.68","12.61M","2.03%"
"02/19/2024","43.92","45.31","45.36","43.33","10.59M","-3.07%"
"02/16/2024","45.31","44.17","45.56","43.92","11.05M","2.58%"
"02/15/2024","44.17","43.87","44.47","43.38","7.02M","0.34%"
"02/14/2024","44.02","42.83","44.42","42.24","16.29M","3.50%"
"02/09/2024","42.53","42.39","42.98","41.49","4.64M","0.35%"
"02/08/2024","42.39","42.68","43.13","42.34","5.06M","-0.58%"
"02/07/2024","42.63","43.13","43.48","42.04","9.41M","-0.23%"
"02/06/2024","42.73","42.78","43.68","42.49","14.53M","-0.12%"
"02/05/2024","42.78","42.58","43.33","42.39","8.99M","-0.46%"
"02/02/2024","42.98","42.98","43.58","42.73","13.43M","0.70%"
"02/01/2024","42.68","40.60","42.83","40.60","14.02M","5.91%"
"01/31/2024","40.30","40.55","41.59","40.15","8.33M","-0.61%"
"01/30/2024","40.55","41.19","41.29","40.30","8.29M","-2.04%"
"01/29/2024","41.39","41.44","41.99","41.19","7.99M","0.72%"
"01/26/2024","41.10","40.45","42.09","40.20","10.15M","1.97%"
"01/25/2024","40.30","40.00","40.70","39.36","6.21M","0.74%"
"01/24/2024","40.00","38.51","40.20","38.51","6.46M","4.68%"
"01/23/2024","38.22","38.02","38.81","37.47","7.29M","0.52%"
"01/22/2024","38.02","39.90","40.35","37.57","8.69M","-4.25%"
"01/19/2024","39.71","40.05","40.55","39.46","7.86M","0.63%"
"01/18/2024","39.46","38.51","39.61","38.47","8.39M","2.45%"
"01/17/2024","38.51","39.61","39.71","38.32","12.42M","-2.76%"
"01/16/2024","39.61","39.51","39.85","39.21","6.60M","-0.25%"
"01/15/2024","39.71","40.25","40.25","39.41","6.40M","-1.36%"
"01/12/2024","40.25","40.65","41.19","40.05","4.84M","-0.98%"
"01/11/2024","40.65","40.25","41.19","39.95","8.30M","0.99%"
"01/10/2024","40.25","40.35","40.90","39.90","5.01M","-1.22%"
"01/09/2024","40.75","41.10","41.15","40.10","13.95M","-0.97%"
"01/08/2024","41.15","42.44","43.38","40.95","8.41M","-3.27%"
"01/05/2024","42.53","43.78","44.07","42.44","7.60M","-2.83%"
"01/04/2024","43.78","44.22","44.22","43.68","4.77M","-0.23%"
"01/03/2024","43.87","43.83","44.12","43.53","4.90M","-0.56%"
"01/02/2024","44.12","44.52","44.82","43.53","6.92M","1.60%"
"12/29/2023","43.43","43.23","44.02","43.18","2.79M","0.00%"
"12/28/2023","43.43","42.19","43.63","41.49","7.35M","3.43%"
"12/27/2023","41.99","42.14","42.19","41.64","4.48M","-0.35%"
"12/22/2023","42.14","42.68","43.03","41.89","11.64M","-0.12%"
"12/21/2023","42.19","41.79","42.19","41.00","8.13M","-0.82%"
"12/20/2023","42.53","42.39","42.78","41.89","5.27M","1.78%"
"12/19/2023","41.79","41.69","42.14","41.10","3.85M","0.24%"
"12/18/2023","41.69","41.99","42.39","41.34","5.22M","-1.18%"
"12/15/2023","42.19","41.64","42.88","41.64","9.15M","2.29%"
"12/14/2023","41.24","41.99","41.99","40.95","7.59M","0.85%"
"12/13/2023","40.90","40.75","41.10","40.60","2.95M","0.12%"
"12/12/2023","40.85","41.24","41.34","40.40","6.07M","0.00%"
"12/11/2023","40.85","39.81","41.15","39.81","6.88M","-1.79%"
"12/08/2023","41.59","40.85","41.69","40.60","6.66M","2.07%"
"12/07/2023","40.75","40.70","41.05","39.66","9.56M","0.12%"
"12/06/2023","40.70","41.15","41.74","40.65","8.93M","-0.73%"
"12/05/2023","41.00","40.40","41.24","40.00","8.51M","1.35%"
"12/04/2023","40.45","40.00","41.15","40.00","8.51M","-0.37%"
"12/01/2023","40.60","40.20","41.19","39.81","8.25M","1.24%"
"11/30/2023","40.10","39.95","40.20","39.21","12.01M","0.37%"
"11/29/2023","39.95","42.14","42.14","39.71","13.45M","-4.85%"
"11/28/2023","41.99","43.03","43.03","41.89","3.73M","-1.63%"
"11/27/2023","42.68","43.03","43.28","42.24","3.68M","-0.81%"
"11/24/2023","43.03","43.03","43.48","42.73","3.51M","-0.91%"
"11/23/2023","43.43","43.43","43.48","42.78","4.10M","-0.11%"
"11/22/2023","43.48","43.87","44.12","43.43","3.47M","-0.90%"
"11/21/2023","43.87","43.68","44.57","43.68","7.63M","0.68%"
"11/20/2023","43.58","42.68","44.17","42.53","6.40M","1.86%"
"11/17/2023","42.78","42.49","42.93","42.19","4.91M","0.47%"
"11/16/2023","42.58","43.28","43.28","42.24","6.80M","-0.69%"
